symbol,Period Start,Period End,Return,Earnings Per Share
D,2013-12-31,2014-12-31,0.000831348556062,2.25
D,2014-12-31,2015-12-31,-0.000504417326466,3.21
DAL,2013-12-31,2014-12-31,0.00307861973872,0.79
DAL,2014-12-31,2015-12-31,0.000121839355913,5.68
DD,2013-12-31,2014-12-31,0.000637187820419,3.95
DD,2014-12-31,2015-12-31,-0.000192743775105,2.17
DE,2013-10-31,2014-10-31,0.000189566371904,8.71
DE,2015-10-31,2016-10-31,0.000401328630105,0.91
DFS,2012-11-30,2013-12-31,0.00131257945029,4.97
DFS,2013-12-31,2014-12-31,0.00072612716885,4.91
DFS,2014-12-31,2015-12-31,-0.000712780122568,5.14
DG,2013-02-01,2014-01-31,0.000945252382386,3.17
DG,2014-01-31,2015-01-30,0.000828966635073,3.5
DG,2015-01-30,2016-01-29,0.000478610599223,3.96
DGX,2012-12-31,2013-12-31,-0.000346359637729,5.58
DGX,2013-12-31,2014-12-31,0.00106696104111,3.83
DGX,2014-12-31,2015-12-31,0.000124852878784,4.92
DHI,2013-09-30,2014-09-30,0.00023342692082,1.57
DHI,2014-09-30,2015-09-30,0.00176540451975,2.05
DHI,2015-09-30,2016-09-30,8.28464110191e-05,2.39
DHR,2012-12-31,2013-12-31,0.00136141225105,3.87
DHR,2013-12-31,2014-12-31,0.000480654651397,3.7
DHR,2014-12-31,2015-12-31,0.000331459723708,4.81
DIS,2013-09-28,2014-09-27,0.00149811674388,4.31
DIS,2014-09-27,2015-10-03,0.000623117791751,4.95
DIS,2015-10-03,2016-10-01,-0.000421616268164,5.76
DISCA,2013-12-31,2014-12-31,-0.000965623932728,0.38
DLPH,2013-12-31,2014-12-31,0.000888215945119,4.5
DLPH,2014-12-31,2015-12-31,0.00071832053718,5.08
DLR,2012-12-31,2013-12-31,-0.00113345720731,2.12
DLR,2013-12-31,2014-12-31,0.00135002467904,1.0
DLR,2014-12-31,2015-12-31,0.000550332975125,1.56
DLTR,2013-02-02,2014-02-01,0.00110120382011,2.74
DLTR,2014-02-01,2015-01-31,0.00171776645431,2.91
DLTR,2015-01-31,2016-01-30,0.00050138621052,1.27
DNB,2012-12-31,2013-12-31,0.00224162826254,6.61
DNB,2013-12-31,2014-12-31,7.23057690683e-06,8.06
DNB,2014-12-31,2015-12-31,-0.000578030966691,4.68
DOV,2013-12-31,2014-12-31,-0.000367762615238,4.65
DOV,2014-12-31,2015-12-31,-0.000588236677036,5.52
DPS,2013-12-31,2014-12-31,0.00199869498032,3.59
DPS,2014-12-31,2015-12-31,0.00119712687347,4.0
DRI,2013-05-26,2014-05-25,-0.000282388380716,2.18
DRI,2014-05-25,2015-05-31,0.0012446547246,5.56
DRI,2015-05-31,2016-05-29,0.000101317117974,2.94
